"Mrs. Theresa Herring","LANG-3981"
"Nathaniel Thomas","BIOL-7088"
"Nathaniel Thomas","ITEC-4772"
"Juan Brown","MATH-3894"
"Juan Brown","MGMT-7196"
"Juan Brown","STSO-4319"
"Joshua Hampton","PSYC-2692"
"Janice Lee","MATH-8420"
"Janice Lee","COGS-9661"
"Janice Lee","MATH-4282"
"Elizabeth Young","MATH-8420"
"Elizabeth Young","MGMT-9704"
"Elizabeth Young","ENGR-8711"
"Steven Peterson","MATH-7964"
"Steven Peterson","MATH-8752"
"Steven Peterson","LANG-7473"
"Chloe Scott","COGS-2244"
"Chloe Scott","ECON-8665"
"Tanya Woods","PSYC-7502"
"Tanya Woods","LANG-1038"
"Tanya Woods","MGMT-2422"
"Miranda Smith","ECSE-1607"
"Miranda Smith","ITEC-5084"
"Cheryl Johnson","ITEC-3263"
"Cheryl Johnson","MATH-5394"
"Cheryl Johnson","ARCH-7369"
"Michael Liu","COGS-5133"
"Emily Smith","ECON-8665"
"Emily Smith","ECSE-3306"
"Emily Smith","ARCH-8097"
"Mr. Craig Kramer","ECON-6150"
"Jack White","BIOL-8223"
"Julie Copeland","ARCH-8221"
"Julie Copeland","MGMT-2898"
"Patrick Mcdonald","ENGR-8234"
"Patrick Mcdonald","MATH-5879"
"Vincent Young","CHEM-8845"
"Troy Hawkins","ARCH-4981"
"Curtis Thompson","CSCI-5023"
"Hannah Moyer","LANG-2754"
"Hannah Moyer","ITEC-2724"
"Christopher Cox","ENGR-9682"
"Deborah Perez","ECSE-9748"
"Deborah Perez","BIOL-4411"
"Deborah Perez","CSCI-1704"
"Marcus Martinez","ECSE-1491"
"Marcus Martinez","MGMT-2368"
"Kenneth Howell","LANG-2464"
"Lisa Valdez","CHEM-4904"
"Lisa Valdez","ECON-8608"
"Kayla Adams","CSCI-2400"
"John Williams","ITEC-2402"
"Melissa Butler","MATH-5864"
"Melissa Butler","PSYC-6453"
"Shelby Miller","MATH-7041"
"Amber Downs","LANG-1682"
"Lynn Ritter","STSO-2823"
"Paul Soto","STSO-2823"
"Paul Soto","ENGR-9682"
"Paul Soto","MATH-8079"
"Kerry Reed","BIOL-4054"
"Gabrielle Davis","STSO-7761"
"Gabrielle Davis","ECSE-7314"
"Gabrielle Davis","COGS-6212"
"Erin Moore","ITEC-2402"
"Erin Moore","COGS-3037"
"Justin Blankenship","ECSE-1607"
"Justin Blankenship","STSO-7806"
"Holly Hernandez","PSYC-6051"
"Holly Hernandez","STSO-1933"
"Tina Wallace","STSO-6137"
"Roy Ross","LANG-3109"
"Roy Ross","CSCI-9644"
"Tyler Decker","MGMT-7607"
"Tyler Decker","PSYC-7502"
"Tyler Decker","STSO-1842"
"Ashley Ryan","ECON-6575"
"Kevin Villarreal","ECSE-5695"
"Kevin Villarreal","ECON-4224"
"Kevin Villarreal","ITEC-2724"
"Caroline Williams","ARCH-8097"
"Caroline Williams","MGMT-3029"
"Henry Dorsey","MGMT-8224"
"Ashley Smith","CSCI-7746"
"Ashley Smith","MATH-8752"
"Jennifer Neal","ARCH-8432"
"Jennifer Neal","STSO-8068"
"Jennifer Neal","LANG-7040"
"Amber Underwood","LANG-9426"
"Amber Underwood","ECSE-5695"
"Amber Underwood","BIOL-7711"
"Luke Matthews","CSCI-6766"
"Tyler Goodman","STSO-5001"
"Tyler Goodman","COGS-3077"
"Tyler Goodman","MGMT-7673"
"Jill Arroyo","LANG-8367"
"Jill Arroyo","MATH-7964"
"Michael Bailey","COGS-9661"
"Michael Bailey","ITEC-2883"
"Michael Bailey","STSO-7806"
"Patricia Murray","STSO-8036"
"Patricia Murray","ECSE-4324"
"Patricia Murray","MGMT-2126"
"Dan Lopez","STSO-8203"
"Dan Lopez","LANG-3886"
"Donald Brennan","ARCH-8432"
"Donald Brennan","COGS-1363"
"Donald Brennan","CHEM-8608"
"Meghan Adams","LANG-8563"
"Catherine King","MATH-4282"
"Catherine King","ARCH-2464"
"Jerome Barnes","ARCH-3804"
"Jerome Barnes","MGMT-8047"
"Latoya Hicks","MATH-5864"
"Latoya Hicks","ECSE-8140"
"Melinda Gates DDS","LANG-5818"
"Melinda Gates DDS","LANG-4629"
"Brooke Perez","ECON-5413"
"Barry Hall","STSO-7793"
"Catherine Huang","COGS-3077"
"Kelli Fischer","BIOL-7732"
"Jessica Olsen","MGMT-2422"
"Johnathan Klein","ITEC-6107"
"Johnathan Klein","BIOL-9270"
"Johnathan Klein","PSYC-8944"
"Jennifer Carr","MATH-4157"
"Jennifer Carr","ITEC-1982"
"Jennifer Carr","ARCH-3804"
"Lori Hanson","ARCH-7369"
"Lori Hanson","ITEC-5084"
"Alexander Sherman","CHEM-2566"
"Alexander Sherman","CSCI-9318"
"Alexander Sherman","CHEM-6923"
"Jonathan Matthews","CHEM-2821"
"Jordan Reid","LANG-8192"
"Jordan Reid","ENGR-8234"
"Jordan Reid","CHEM-1999"
"James Garcia","PSYC-4304"
"James Garcia","ECON-2282"
"James Garcia","BIOL-6426"
"Mark Long","CHEM-5387"
"Mark Long","COGS-6330"
"Mark Long","ITEC-3472"
"Sarah Rodriguez","LANG-1278"
"Danielle Leblanc","ECON-2282"
"Danielle Leblanc","LANG-5818"
"Danielle Leblanc","CSCI-1704"
"Brandy Johnson","ECON-8869"
"Brandy Johnson","ARCH-7453"
"Brandy Johnson","PSYC-1471"
"Mr. Jeffrey Thornton III","ECON-5803"
"Bridget Blake","BIOL-5043"
"Bridget Blake","ECSE-5117"
"Bridget Blake","LANG-3193"
"Audrey Henderson","CSCI-1601"
"Audrey Henderson","MATH-5879"
"Catherine Singleton","MATH-1079"
"Cheryl Medina","BIOL-7645"
"Cheryl Medina","ITEC-5912"
"Cheryl Medina","ECSE-1607"
"Stephen Moore","PSYC-1799"
"Stephen Moore","MGMT-6085"
"Ryan Malone","LANG-8912"
"Ryan Malone","BIOL-2804"
"Emily Stevens","ITEC-3472"
"Ronald White","ENGR-9178"
"Ronald White","CSCI-4126"
"Ronald White","COGS-1363"
"Dana Blackwell","COGS-5133"
"Renee Jones","ECON-7841"
"Barbara Richmond","BIOL-1217"
"Barbara Richmond","ITEC-3314"
"Isaac Hoover","ECSE-8065"
"Isaac Hoover","MGMT-2126"
"Isaac Hoover","ITEC-8451"
"Billy Anderson","COGS-7911"
"Billy Anderson","CHEM-6923"
"Billy Anderson","BIOL-6426"
"Brooke Mueller","MATH-6667"
"Brooke Mueller","ARCH-7453"
"Lori Daniel","BIOL-9107"
"Michelle Melton","LANG-9205"
"Samuel Bishop","ARCH-1513"
"Samuel Bishop","ECON-1298"
"Samuel Bishop","COGS-6575"
"Daniel Wang","ENGR-8711"
"Nicole Jordan","COGS-2623"
"Alexander Mitchell","MATH-4201"
"Alexander Mitchell","ITEC-1982"
"Alexander Mitchell","ITEC-5417"
"April Mueller","ITEC-8451"
"Travis Butler","ECSE-4324"
"Travis Butler","ECON-8673"
"Patricia Taylor","ITEC-4946"
"Mallory Holland","MGMT-4733"
"Mallory Holland","MATH-4157"
"Suzanne Crawford","PSYC-8944"
"Suzanne Crawford","ARCH-8432"
"Suzanne Crawford","ITEC-8660"
"Jeffrey Flores","ITEC-4772"
"Lori Fernandez","CSCI-5536"
"Lori Fernandez","MGMT-3637"
"Lori Fernandez","LANG-1038"
"Mrs. Dana Fowler","BIOL-9858"
"Mrs. Dana Fowler","CHEM-2562"
"Debbie Gonzalez","STSO-5144"
"Terry Brown","LANG-1278"
"Terry Brown","STSO-6899"
"Terry Brown","MATH-5864"
"Sara Moore","ENGR-6735"
"Sara Moore","LANG-1283"
"Breanna Campos","ITEC-8784"
"Breanna Campos","COGS-8573"
"Breanna Campos","LANG-8456"
"Karen Silva","ENGR-6537"
"Karen Silva","BIOL-6758"
"Donna Holland","MATH-4282"
"Donna Holland","MATH-5331"
"Carla Bailey","ARCH-3804"
"Carla Bailey","MGMT-1558"
"Tonya Myers","STSO-8068"
"Samantha Graves","CSCI-7757"
"Jessica Brooks","MATH-9779"
"Jessica Brooks","MGMT-8758"
"Levi Hopkins","BIOL-8647"
"Eileen Hodge","MATH-2624"
"Eileen Hodge","PSYC-1612"
"Pamela Leon","COGS-5146"
"Pamela Leon","LANG-3886"
"Joshua Parsons","ARCH-2486"
"Darlene Lee","MATH-9843"
"Jamie Miller","LANG-5421"
"Dennis Adams","ARCH-5996"
"Dennis Adams","COGS-9903"
"Katherine Wade","MATH-4201"
"James Fitzgerald","ITEC-5084"
"James Fitzgerald","CHEM-4549"
"Elizabeth Webb","COGS-1543"
"Elizabeth Webb","LANG-5653"
"Elizabeth Webb","STSO-3337"
"Victor Taylor","ITEC-6550"
"Justin Garrett","MGMT-1558"
"William Lyons","MATH-5394"
"William Lyons","BIOL-7088"
"William Lyons","LANG-5774"
"Christian Thornton","PSYC-1499"
"Danielle Kennedy","STSO-3337"
"Natasha Farmer","ECON-8665"
"Natasha Farmer","COGS-6575"
"Natasha Farmer","CSCI-9513"
"Kathleen Yoder","ARCH-2486"
"Kathleen Yoder","ARCH-3204"
"Jonathan Turner","MATH-9843"
"Steven Patel","CSCI-1601"
"Steven Patel","LANG-5653"
"Wayne Tanner","ECSE-1607"
"Nicholas Lopez","ARCH-3804"
"Nicholas Lopez","MGMT-2898"
"Nicholas Lopez","CHEM-8116"
"Jeffrey Simpson","ECSE-9186"
"Daniel Davis","COGS-8009"
"Chris Montoya","BIOL-9107"
"Kelly Lang","BIOL-1217"
"Kelly Lang","ARCH-8432"
"Austin Morgan","ARCH-4612"
"Carlos Nguyen","ECON-3139"
"Carlos Nguyen","ECSE-1491"
"Carlos Nguyen","LANG-3488"
"Brittney Jacobs","ARCH-7668"
"Jonathan Garza","PSYC-1471"
"Jonathan Garza","PSYC-4304"
"Dawn Hughes","COGS-5146"
"Jamie Burns","COGS-6716"
"Jennifer Cohen","MATH-7964"
"Amy Kline","ARCH-8568"
"Andrea Reynolds","MGMT-7977"
"Andrea Reynolds","ECON-8608"
"Andrea Reynolds","PSYC-2277"
"William Stanley","CSCI-1521"
"William Stanley","COGS-7514"
"William Stanley","LANG-9426"
"Gordon Melendez","ARCH-1513"
"Gordon Melendez","BIOL-9270"
"Willie Garner","COGS-3037"
"Tony Bailey","ITEC-3084"
"Tony Bailey","ITEC-3099"
"Tony Bailey","CSCI-4126"
"Cynthia James","ITEC-6199"
"Cynthia James","BIOL-4411"
"Cynthia James","ITEC-5685"
"Amy Cruz","PSYC-8944"
"Amy Cruz","ARCH-8097"
"Amy Cruz","ITEC-6358"
"Samantha Taylor","CSCI-5490"
"Samantha Taylor","ARCH-7686"
"Samantha Taylor","MATH-5379"
"Madison Greene","ITEC-8660"
"Madison Greene","ITEC-9478"
"Madison Greene","ITEC-5912"
"Johnathan Horton","BIOL-8280"
"Gregory Moss","ARCH-7841"
"Gregory Moss","ECSE-9948"
"Gregory Moss","ECON-1214"
"Henry Powell","ECON-1298"
"Henry Powell","ITEC-3084"
"Brandon Spencer","STSO-7806"
"Brandon Spencer","ITEC-9478"
"April Smith","MATH-5379"
"April Smith","ARCH-1790"
"April Smith","ENGR-3191"
"Dustin Knapp","STSO-5464"
"Dustin Knapp","ENGR-7382"
"Beverly Hancock","MGMT-7673"
"Beverly Hancock","LANG-9830"
"Stacey Martinez","LANG-9830"
"Stacey Martinez","CHEM-8845"
"Mary Lawson","ITEC-6848"
"Maria Ramos","CHEM-4549"
"Maria Ramos","BIOL-9858"
"Maria Ramos","ITEC-8451"
"Alisha Kramer","LANG-2464"
"Alisha Kramer","BIOL-1503"
"Alisha Kramer","ECSE-4324"
"Richard Rivas","ITEC-8608"
"Joseph Silva","MGMT-5501"
"Joseph Silva","ENGR-9178"
"Joseph Silva","PSYC-2116"
"Vincent Hanna","LANG-6380"
"Vincent Hanna","BIOL-7645"
"Frances Murphy","ITEC-5417"
"Frances Murphy","BIOL-6426"
"Frances Murphy","LANG-1682"
"Cynthia Santos","MGMT-9350"
"Cynthia Santos","PSYC-1405"
"Stephen Kelly","ITEC-4946"
"Stephen Kelly","CHEM-6923"
"Stephen Kelly","MATH-5704"
"Richard Chen","ECON-3253"
"Larry Gillespie","PSYC-5254"
"Pamela Gilbert","ARCH-8221"
"Pamela Gilbert","CSCI-1038"
"Pamela Gilbert","ECSE-9948"
"Austin Williams","CHEM-4549"
"Austin Williams","MATH-9813"
"Nicole Weber","COGS-2244"
"Jonathan West","ARCH-9150"
"Joy Cole","COGS-5132"
"Anthony Zimmerman","BIOL-8280"
"Anthony Zimmerman","ARCH-4612"
"Anthony Zimmerman","ARCH-8157"
"Lance Forbes","CSCI-1629"
"Lance Forbes","MGMT-2898"
"Lance Forbes","ITEC-5685"
"Dean Costa","CSCI-7746"
"Rhonda Espinoza","MGMT-8758"
"Rhonda Espinoza","CSCI-1704"
"Michael Mathews","ARCH-1513"
"Michael Mathews","COGS-6575"
"James Colon","BIOL-5328"
"Matthew Dodson","MATH-9858"
"Matthew Dodson","ECSE-9748"
"Shawn Campbell","MATH-4045"
"Shawn Campbell","ARCH-5996"
"Jessica Mendoza","ENGR-4384"
"Ann Chavez","MATH-5379"
"Dennis Stephens","ECON-4404"
"Suzanne Barnes","ECSE-2712"
"Suzanne Barnes","LANG-2464"
"Mark Richards","ARCH-9150"
"Mark Richards","STSO-5392"
"Daniel Johnson","BIOL-7732"
"Debra Ray","ARCH-1513"
"Jeremy Nguyen","ARCH-7369"
"Jeremy Nguyen","CHEM-5387"
"Courtney Long","ECON-4224"
"Courtney Long","ARCH-7369"
"Matthew Jordan","STSO-7806"
"Matthew Jordan","ECON-5604"
"Matthew Jordan","COGS-8573"
"Amanda Ellison","ECON-6575"
"Amanda Ellison","BIOL-4289"
"Amanda Ellison","CHEM-7687"
"Sean Watts","PSYC-2116"
"Sean Watts","ENGR-9178"
"Sean Watts","ECSE-3306"
"Jason Cortez","BIOL-8647"
"Jason Cortez","ECON-5803"
"Jason Cortez","ARCH-9150"
"Crystal Downs","BIOL-7088"
"Crystal Downs","CHEM-8608"
"Crystal Downs","BIOL-4289"
"Eric Rogers","MATH-8932"
"Timothy Jensen","STSO-2610"
"Timothy Jensen","BIOL-5252"
"Theresa Thomas","CSCI-1994"
"Catherine Booker","BIOL-4867"
"Catherine Booker","ECSE-3674"
"Kathy Middleton","ARCH-5996"
"Albert Guerrero","ECSE-1571"
"Erin Wright","CHEM-4267"
"Erin Wright","LANG-3193"
"Erin Wright","MGMT-6609"
"Selena James","ENGR-4384"
"Mrs. Christina Sherman","ITEC-8792"
"Mrs. Christina Sherman","COGS-5132"
"Mrs. Christina Sherman","MATH-8448"
"Alexander Garcia","CSCI-5023"
"Alexander Garcia","STSO-6899"
"Alexander Garcia","COGS-1776"
"Pamela Krueger","CHEM-1999"
"Pamela Krueger","STSO-2266"
"Pamela Krueger","ECSE-4571"
"William Peterson","MATH-2934"
"William Peterson","MGMT-1558"
"William Peterson","ENGR-4942"
"Jeffrey Washington II","ARCH-8568"
"Jeffrey Washington II","LANG-8192"
"Jeffrey Washington II","PSYC-2116"
"Christina Cross","STSO-5144"
"Christina Cross","STSO-6966"
"Joshua Martinez","MGMT-1644"
"Daniel Bell","ITEC-6550"
"Daniel Bell","ENGR-4339"
"Michelle Vaughn","ARCH-4981"
"Michelle Vaughn","MATH-7041"
"Michelle Vaughn","MATH-4201"
"Larry Dorsey MD","ARCH-8843"
"Larry Dorsey MD","BIOL-8280"
"Matthew Wise","COGS-5132"
"Matthew Wise","MGMT-9350"
"Briana Ross","MGMT-3029"
"Justin Garza","BIOL-6506"
"Craig Weiss","ITEC-5042"
"Aaron English","MGMT-5501"
"Aaron English","ARCH-8147"
"Aaron English","ECSE-2659"
"Dustin Stark","ITEC-2724"
"Dustin Stark","LANG-5818"
"Peter Bowman","STSO-7806"
"Peter Bowman","CSCI-1629"
"Jessica Terry","ARCH-5996"
"Jessica Terry","ECSE-1491"
"David Clay","MATH-4282"
"David Clay","STSO-7761"
"Todd Martin","CHEM-8339"
"Todd Martin","ECON-4224"
"Todd Martin","PSYC-1340"
"Nathan Morgan","MGMT-8811"
"Nathan Morgan","PSYC-4159"
"Nathan Morgan","ITEC-5685"
"Ebony Savage","ECON-2818"
"Ebony Savage","ITEC-2724"
"Angela Garcia","STSO-2266"
"Crystal Humphrey","ECSE-9948"
"Laura Williams","STSO-3133"
"Laura Williams","ECSE-1460"
"Laura Williams","BIOL-4867"
"Matthew Rosales","CHEM-7687"
"Matthew Rosales","BIOL-9858"
"Matthew Rosales","ECON-8869"
"Richard George","MGMT-5643"
"Richard George","PSYC-5254"
"Richard George","MGMT-9704"
"Kristen Cruz","STSO-3203"
"Kristen Cruz","COGS-7514"
"Kristen Cruz","CHEM-9367"
"Brittany Houston","ECON-6876"
"Brittany Houston","MATH-5704"
"Brittany Houston","MATH-4045"
"Mckenzie Griffin","ECSE-1864"
"Joanna Williams","CHEM-8116"
"Joanna Williams","COGS-7500"
"Diana Johnson","ECON-4404"
"Diana Johnson","COGS-5133"
"Diana Johnson","PSYC-6453"
"Edward Klein","PSYC-8075"
"Edward Klein","ENGR-3899"
"Robert Freeman","COGS-7706"
"Robert Freeman","MATH-5879"
"Cody Jackson","COGS-3625"
"Cody Jackson","ARCH-3338"
"Joy Thompson","CSCI-8811"
"Jeffrey Moore","ECON-6575"
"Nicole Dennis","ITEC-2883"
"Nicole Dennis","ENGR-8234"
"Nicole Dennis","ARCH-8432"
"Adrienne Jordan","BIOL-9858"
"Joshua Mccullough","LANG-8563"
"Joshua Mccullough","CHEM-2821"
"Joshua Mccullough","CSCI-2400"
"Susan Owen","STSO-2963"
"Timothy Donaldson","STSO-5392"
"Stephanie Perry","MGMT-5766"
"Stephanie Perry","ECON-7628"
"Stephanie Perry","MATH-5356"
"Megan Williams","ECON-4118"
"Megan Williams","ITEC-3358"
"Courtney Parker","ECON-7764"
"Courtney Parker","MATH-4282"
"Sherry Hernandez","MGMT-3637"
"Zachary Rios","STSO-7793"
"Lindsey Snyder","ARCH-8568"
"Lindsey Snyder","ECON-1298"
"Lindsey Snyder","COGS-6212"
"Robert Hale","CHEM-1386"
"Robert Hale","CSCI-1704"
"Robyn Smith","ECON-6876"
"Robyn Smith","COGS-9903"
"Douglas Lawson","ENGR-7308"
"Douglas Lawson","ITEC-5912"
"Jeffrey Chan","ECSE-1460"
"Jessica Wolfe","CSCI-2542"
"Benjamin Weber","CHEM-5099"
"Michele Dennis","MGMT-7607"
"Michele Dennis","STSO-3508"
"Michele Dennis","STSO-2475"
"Jennifer Gonzales","CSCI-1405"
"Jennifer Gonzales","MGMT-3637"
"Jennifer Gonzales","MATH-6667"
"Maria Callahan","MGMT-4611"
"Maria Callahan","COGS-9661"
"Leslie Graham","LANG-3109"
"John Riley","MGMT-2126"
"John Riley","STSO-7806"
"Jasmine Nash","ECON-8665"
"Jasmine Nash","ARCH-5996"
"Rachel Holloway","CHEM-2367"
"Rachel Holloway","CSCI-6872"
"Timothy Smith","BIOL-6758"
"Timothy Smith","PSYC-1318"
"Katie Smith","BIOL-9328"
"Katie Smith","CSCI-6288"
"Katie Smith","STSO-5464"
"Logan Beasley","LANG-5999"
"Mrs. Sandra Sanford","PSYC-4159"
"Kelly Coffey","ECSE-1864"
"Kelly Coffey","MATH-3933"
"Kelly Coffey","ECON-8608"
"Tiffany Lewis","STSO-5789"
"Tiffany Lewis","MGMT-6741"
"Susan Reeves","CSCI-4126"
"Todd Calderon","ENGR-4942"
"Todd Calderon","COGS-8573"
"Courtney Walker","ECON-2818"
"Courtney Walker","MATH-5394"
"Robert Alexander","LANG-5421"
"Robert Alexander","LANG-5818"
"Robert Alexander","LANG-2464"
"Brent Franklin","MATH-7789"
"Brent Franklin","MATH-9843"
"Brent Franklin","CSCI-3014"
"Randy Krueger","ARCH-9962"
"Ann Lewis","ECSE-1571"
"Ann Lewis","ECSE-1864"
"Ann Lewis","PSYC-1499"
"Chad Chambers","STSO-2475"
"Destiny Glover","ITEC-6550"
"Destiny Glover","STSO-3144"
"Phillip Anderson","PSYC-1360"
"Phillip Anderson","COGS-2457"
"Thomas Ayala","ENGR-6942"
"John Collier","PSYC-7502"
"John Collier","BIOL-4054"
"John Collier","MATH-4045"
"Craig Wilcox","MGMT-2126"
"Craig Wilcox","STSO-9202"
"Mrs. Rachel Velasquez","PSYC-2277"
"Mrs. Rachel Velasquez","CHEM-1386"
"John Ponce","CHEM-8116"
"John Ponce","MGMT-2368"
"Justin Stewart","ENGR-3899"
"Justin Stewart","COGS-6212"
"Justin Stewart","ECON-8869"
"Teresa Sanchez","BIOL-8280"
"Teresa Sanchez","ECSE-4571"
"Teresa Sanchez","ECSE-8140"
"Timothy Espinoza","COGS-2555"
"Timothy Espinoza","MATH-8752"
"Lori Cross","COGS-2457"
"Thomas Diaz","MATH-3933"
"Jill Fields","MGMT-1644"
"Jill Fields","PSYC-8075"
"William Rogers","CHEM-8608"
"Carolyn Armstrong","LANG-4629"
"Luis Neal","STSO-8396"
"Luis Neal","LANG-1283"
"Karen Mooney","COGS-7911"
"Karen Mooney","CSCI-1777"
"Karen Mooney","MATH-4045"
"Mr. Jonathan Holden","MGMT-3535"
"Adam Williams","ITEC-6358"
"Adam Williams","ITEC-7960"
"Courtney Stevenson","ECON-1777"
"Daniel Luna","CSCI-1405"
"Daniel Luna","ENGR-4339"
"Adam Mason","ENGR-3462"
"Mrs. Michele Anderson","STSO-3203"
"Mrs. Michele Anderson","ECSE-5117"
"Mrs. Michele Anderson","CSCI-5490"
"Parker Miller","COGS-5146"
"Parker Miller","STSO-2963"
"Parker Miller","PSYC-5254"
"Jennifer Mills","CHEM-8339"
"Jennifer Mills","PSYC-4598"
"Mercedes Sanchez","ITEC-8792"
"Mercedes Sanchez","ECON-1214"
"Gabriela Brown","ECSE-1571"
"Gabriela Brown","MGMT-5501"
"Gabriela Brown","COGS-5132"
"Dawn Elliott","LANG-1682"
"Dawn Elliott","CHEM-2266"
"Rachel Peterson","MATH-9474"
"Dr. Melissa Wilson MD","ENGR-3191"
"Dr. Melissa Wilson MD","ARCH-7834"
"Max Miller","PSYC-1360"
"Max Miller","STSO-8384"
"Max Miller","MGMT-9350"
"Hannah Larson","ARCH-9962"
"Peter Shepherd","PSYC-6453"
"Peter Shepherd","ENGR-3462"
"Stephanie Johnson","MATH-5879"
"Stephanie Johnson","MATH-4045"
"Isaiah Riddle","ENGR-8234"
"Isaiah Riddle","ECSE-5032"
"Isaiah Riddle","ITEC-3314"
"Julian Johnson","ITEC-3314"
"Julian Johnson","ECSE-3306"
"Fernando Nguyen","LANG-3109"
"Fernando Nguyen","MGMT-6085"
"Joseph Fischer","ENGR-8669"
"Joseph Fischer","ARCH-8848"
"Joseph Fischer","ECSE-4571"
"Larry Warren","ECON-1471"
"Linda Wilkins","ENGR-8578"
"Linda Wilkins","MGMT-1644"
"Linda Wilkins","ECON-8608"
"Sheila Davis","MGMT-3029"
"Sheila Davis","PSYC-8075"
"Megan Leon","ECSE-4571"
"Megan Leon","ARCH-8221"
"Kathleen Cox","COGS-3427"
"Kathleen Cox","COGS-8518"
"Eric Perez","MATH-4277"
"Eric Perez","CSCI-5884"
"Heather Wilson","LANG-8192"
"David Coleman","MGMT-5766"
"Kyle Carey","STSO-7761"
"Kyle Carey","MGMT-2128"
"Nicholas Waters","ARCH-3804"
"Nicholas Waters","ITEC-4931"
"Sheila Edwards","CSCI-8365"
"Sheila Edwards","STSO-3337"
"Susan Baker","CSCI-7708"
"Susan Baker","CHEM-7787"
"Jenna Perez","COGS-3427"
"Jenna Perez","ECON-5803"
"Jenna Perez","ECON-6876"
"Johnny Barrett","MATH-4045"
"Johnny Barrett","BIOL-8647"
"Sarah Duncan","BIOL-6426"
"David Perry DVM","LANG-4384"
"Andre Thompson","ARCH-8432"
"Andre Thompson","MATH-2934"
"Andre Thompson","CHEM-1999"
"Stephen Alexander PhD","ECSE-9548"
"Stephen Alexander PhD","ECON-5604"
"Anthony Moody","STSO-3494"
"Anthony Moody","MGMT-8811"
"Timothy Brooks","LANG-8563"
"Leroy Wallace","ENGR-3618"
"Ashley Warren","COGS-3037"
"Ashley Warren","MATH-5356"
"Zachary Henderson","CHEM-3665"
"Zachary Henderson","MGMT-3029"
"Zachary Henderson","MGMT-4733"
"Holly Mason","LANG-2754"
"Kelly Blackwell","CSCI-1934"
"Kelly Blackwell","ITEC-8792"
"Jessica Mcguire","MGMT-5766"
"Jessica Mcguire","ECON-6150"
"Jessica Mcguire","MGMT-7977"
"John Meyer","ECON-2282"
"Elizabeth Nichols","CSCI-4126"
"Elizabeth Nichols","ITEC-5685"
"Elizabeth Nichols","CSCI-1038"
"Danny Moore","COGS-2623"
"Benjamin Glenn","BIOL-4011"
"Rachel Murillo MD","LANG-9830"
"Rachel Murillo MD","ENGR-8635"
"Steven Hunt","BIOL-7645"
"Steven Hunt","PSYC-2251"
"Justin Best","ENGR-4339"
"Kathryn Acevedo","LANG-2615"
"Kathryn Acevedo","ITEC-4931"
"Dr. John Ballard MD","LANG-4384"
"Dr. John Ballard MD","ENGR-8234"
"Dr. John Ballard MD","ARCH-9150"
"Brittany Villanueva","ECSE-9548"
"Rachel Williams","ENGR-3478"
"Rachel Williams","ARCH-1790"
"Nicole Maynard","MATH-5669"
"Nicole Maynard","STSO-7806"
"Isaiah Lopez","STSO-7793"
"Isaiah Lopez","BIOL-6506"
"Isaiah Lopez","ECSE-4324"
"Theresa Holloway","ITEC-6550"
"Fernando Carr","PSYC-6966"
"Monica Kelly","BIOL-5252"
"Monica Kelly","STSO-2823"
"Melissa Edwards","STSO-2610"
"Melissa Edwards","ARCH-7668"
"William Cruz","CHEM-1999"
"William Cruz","MGMT-2368"
"William Cruz","ECSE-5968"
"Tony Sosa","ECON-6876"
"Tony Sosa","ITEC-4703"
"Edward Randall","CSCI-1601"
"Edward Randall","BIOL-8280"
"Edward Randall","STSO-2475"
"Matthew Edwards","PSYC-1360"
"Matthew Edwards","COGS-2047"
"Mark Moore","ENGR-3618"
"Mark Moore","STSO-3133"
"Mark Moore","ITEC-6107"
"Beverly Allen","ECON-4404"
"Beverly Allen","ECSE-2659"
"Beverly Allen","MGMT-1644"
"Vicki Barrett","COGS-7500"
"Vicki Barrett","STSO-3203"
"Vicki Barrett","ECSE-6530"
"Brooke Rivera","ENGR-6537"
"Brooke Rivera","MATH-3894"
"Matthew Russell","MATH-5356"
"Matthew Russell","ECSE-6530"
"Matthew Russell","COGS-7911"
"Cassie Phillips","BIOL-9858"
"Cassie Phillips","LANG-3131"
"Cassie Phillips","COGS-6212"
"Sean Hansen","ARCH-7369"
"Sean Hansen","ITEC-2018"
"Brian Garza","CSCI-1777"
"Brian Garza","MATH-9779"
"Brian Garza","LANG-9205"
"Sara Thompson","BIOL-3506"
"Sara Thompson","ITEC-4703"
"Crystal Fernandez","ENGR-3618"
"Crystal Fernandez","CSCI-1521"
"Crystal Fernandez","ARCH-5943"
"Tracy Rojas","ECSE-4571"
"Tracy Rojas","MATH-9199"
"Michelle Roberson","LANG-3886"
"Michelle Roberson","MGMT-7196"
"Jon Jacobson","CHEM-4267"
"Jon Jacobson","LANG-3109"
"Megan Hughes","CHEM-9716"
"Beth Dunn","PSYC-8075"
"Beth Dunn","CSCI-5490"
"Mr. Trevor Pearson","ITEC-5084"
"Mr. Trevor Pearson","MGMT-8224"
"Julie Davis","ENGR-7308"
"Julie Davis","ENGR-9682"
"Nicole White","CHEM-1584"
"Nicole White","MGMT-9704"
"Nicole White","BIOL-9423"
"Gregory Atkinson","MATH-9843"
"Gregory Atkinson","MATH-5379"
"Sally Gaines","ITEC-5084"
"Sally Gaines","ITEC-6379"
"Sally Gaines","MATH-9843"
"James Dalton","ECON-6169"
"James Dalton","BIOL-4667"
"James Dalton","ECON-1471"
"Rodney Fields","CSCI-6288"
